"Country","City","Company Name","Address","Phone","Website","Email","Error"
"angola","luanda","TEU TRANSIT?RIO LDA",", Angola","","www.teutransitario.pt","commercial@teutransitario.pt","The ""Phone"" field is required; please fill in it."
"angola","luanda","BELETRANS ANGOLA - LOGISTICA LDA",", Angola","+244 (0)91 996 1926","www.beletrans.pt","beletrans.angola@gmail.com","The ""Phone"" field is empty or partially filled in."
"angola","luanda","EXPRESS LINE SHIPPING LLC","Rua Ngola Kilunga No.135, Mabor Imbondeiro, Luanda, Angola","+244 (0)92 360 7872","www.expresslineuae.com","info@expresslineuae.com","The ""info@expresslineuae.com"" email address is already in use by another account. | ""Personal address"" is already in use or denied | The ""Phone"" field is empty or partially filled in."
"angola","luanda","GETMA TRAMP ANGOLA","Rua Major Kanhangulo No 171, Caixa Postal No 174, Luanda, Angola","+244 (0)222 310984","www.getma.fr","","Please make sure you’ve entered a valid email address. | The ""Phone"" field is empty or partially filled in."
"angola","luanda","KUEHNE + NAGEL (ANGOLA) TRANSITARIO","Sonils OSC, Luanda, Angola","+244 (0)2 310795","www.kuehne-nagel.com","info.luanda@kuehne-nagel.com","The ""Phone"" field is empty or partially filled in."
"angola","luanda","RANGEL TRANSPORT AND LOGISTICS","Aeroport Internacional 4 De Fevereiro, Terminal Da Sal, Sociedade De Aviacao Ligeira, Luanda, Angola","+244 (0)2 2235 5092","www.rangel.com","","Please make sure you’ve entered a valid email address. | The ""Phone"" field is empty or partially filled in."
"angola","luanda","TIBA ANGOLA LDA",", Angola","+244 (0)2 2239 0968","www.tibagroup.com","angoladesk@tibagroup.com","The ""Phone"" field is empty or partially filled in."
"antigua-and-barbuda","antigua airport","PAS CARGO GROUP (B & B SHIPPING)","Carlisle Estate, St George's Parish, Antigua airport, Antigua And Barbuda","+1 268 562-5258","www.pascargousa.com","wca@pascargousa.com","Exception: Execution context was destroyed, most likely because of a navigation."
"argentina","ciudad de buenos aires","VS CARGO SA","Av. Cordoba 652 - 2B, C1054AAS - Cdad. de Buenos Aires - Argentina","+54 11 4322 3003","www.vscargo.com.ar","info@vscargo.com.ar","The name of your individual page is too short; please enter 3 or more characters."
"argentina","ciudad de buenos aires","TPF FORWARDING NETWORK (ARGENTINA)","Reconquista 715 3ro. A, Ciudad de Buenos Aires, Argentina","54 11 4312 0541","www.tpfnetwork.org","mvaccari@vaccari.com.ar","""Personal address"" is already in use or denied | The ""Phone"" field is empty or partially filled in."
"argentina","ciudad de buenos aires","LIBER LINE SRL","Maipu 763 - 5 Piso M, (C1006ACI) Ciudad de Buenos Aires, Argentina","(+5411) 4328-5876","www.liberline.com.ar","ealvarez@liberline.com.ar","The ""Phone"" field is required; please fill in it."
"argentina","ciudad de buenos aires","COMEXSU S.A.","Lavalle 442  Piso 7, CP1047 - Ciudad de Buenos Aires  Argentina","5411-5031-8956","www.comexsu.com","mlugo@comexsu.com","The ""Phone"" field is empty or partially filled in."
"argentina","ciudad de buenos aires","ARGENTINA CARGO SRL","Alsina 495, piso 11. CABA-Ciudad de Buenos Aires. Argentina.","+ 54 (11) 4331-2661","www.argentina-cargo.com.ar","contacto@argentina-cargo.com.ar","""Personal address"" is already in use or denied | ""Personal address"" is already in use or denied"
"argentina","ciudad de buenos aires","CG LOGISTICA","Maipu 42, 8th Floor, C1082AAB Buenos Aires, Argentina","+54 (0)11 4345-1700","www.cglogistica.org","info@cglogisitca.com","The name of your individual page is too short; please enter 3 or more characters."
"argentina","ciudad de buenos aires","TRANSPORTES UNIVERSALES SA","Avenida Belgrano 615, Piso 9, C1092 AAG Buenos Aires, Argentina","+54 (0)11 5277-3100","www.tusa.com.ar","tusa@tusa.com.ar","""Personal address"" is already in use or denied"
"argentina","ciudad de buenos aires","ALL CARGO SA","Av Rivadavia 893, 10th Floor, Capital Federal, C1002AAG Buenos Aires, Argentina","+54 (0)11 4345-6262","www.allcargo.com.ar","d_janowski@allcargo.com.ar","""Personal address"" is already in use or denied"
"argentina","ciudad de buenos aires","DB SCHENKER",", Argentina","+54 (0)11 4310-1200","www.dbschenker.com.ar","info.argentina@schenker.com","The name of your individual page is too short; please enter 3 or more characters."
"argentina","ciudad de buenos aires","EXPEDITORS ARGENTINA SA","Lima 355, Piso 1A, C1073AAG Buenos Aires, Argentina","+54 (0)11 4384-0161","www.expeditors.com","","Please make sure you’ve entered a valid email address."
"argentina","ciudad de buenos aires","AFFARI GROUP SRL","Lavalle 437, floor 4, Off. A, Ciudad de Buenos Aires (1047 CABA), Argentina","+54 11 4394-2735","www.affari.com.ar","mlorenzo@affari.com.ar","The ""mlorenzo@affari.com.ar"" email address is already in use by another account. | ""Personal address"" is already in use or denied"
"argentina","ciudad de buenos aires","AGETSA S.R.L.","Moreno 584, Piso 3, Ciudad Autonoma de Buenos Aires, CABA C1091AAL, Argentina","+54(11)5291 2538","www.agetsa.com.ar","alfredosejas@agetsa.com.ar","The ""alfredosejas@agetsa.com.ar"" email address is already in use by another account. | ""Personal address"" is already in use or denied"
"argentina","ciudad de buenos aires","LOGISTICA INTERNACIONAL SRL",", Argentina","+54 (0)11 5235-8862","www.loginternacional.com.ar","fcriscuolo@loginternacional.com.ar","""Personal address"" is already in use or denied"
"argentina","ciudad de buenos aires","ARGENTINA COMERCIO INTERNACIONAL SRL","Olga Cossetini 1660, Piso 7, U 706, C1107CEN Buenos Aires, Argentina","+54 (0)11 5787-7800","www.argentinaci.com.ar","christian.reyes@argentinaci.com.ar","""Personal address"" is already in use or denied | ""Personal address"" is already in use or denied"
"argentina","ciudad de buenos aires","AMERICANA SHIPPING GROUP SRL","Av. Corrientes 640, Floor 3, Suite 40 A, C1043AAS Buenos Aires, Argentina","+54 (0)11 5235-5570","www.americanashipping.com","lac@americanashipping.com","Exception: Waiting for selector `input[name=""f[company_name]""]` failed: Waiting failed: 30000ms exceeded"
"argentina","ciudad de buenos aires","AFFARI GROUP SRL",", Argentina","+54 (0)11 4326-3277","www.affari.com.ar","info@affari.com.ar","""Personal address"" is already in use or denied"
"argentina","ciudad de buenos aires","954 LINCOLN S.A.","Av. Belgrano 634 - Piso 8 Of. F, Ciudad de Buenos Aires, Argentina","+54 (11)4331-4884","www.954lincoln.com.ar","954@954lincoln.com.ar","""Personal address"" either hasn’t been entered or is incorrect; please try again."
"argentina","ciudad de buenos aires","B Y B CONSULTORA S.A.","Mexico 313, Ciudad de Buenos Aires, Argentina","+54 (11)4103-4200","www.bybsa.com.ar","bybcargo@bybsa.com.ar","The name of your individual page is too short; please enter 3 or more characters."
"argentina","ciudad de buenos aires","C.H. ROBINSON WORLDWIDE ARG. S.A.",", Argentina","+54 (11)5555-6300","www.chrobinson.com","buenosairesair@chrobinson.com","The name of your individual page is too short; please enter 3 or more characters."
"argentina","ciudad de buenos aires","CARGO NET LOGISTIC S.A.","Alicia M. de Justo 1750, Piso 1 H, Ciudad de Buenos Aires, Argentina","+54 (11)4312-4380","www.cargo-net.com.ar","info@cargo-net.com.ar","""Personal address"" is already in use or denied"
"argentina","ciudad de buenos aires","CARGO S.A.","Sarmiento 1190, P 8, Ciudad de Buenos Aires, Argentina","+54 (11)5252-9050","www.cargo-sa.com","cargo@cargo-sa.com","The ""cargo@cargo-sa.com"" email address is already in use by another account. | ""Personal address"" is already in use or denied"
"argentina","ciudad de buenos aires","COSTA LIBRE S.A","Peru 367 Piso 1, Ciudad de Buenos Aires, Argentina","+54 (11)4345 0091","www.costalibre.com.ar","recepcion@costalibre.com.ar","Exception: Execution context was destroyed, most likely because of a navigation."
"argentina","ciudad de buenos aires","DIMENSION GLOBAL FORWARDING","Alicia M. de Justo 1180 - 2 Piso Of 202, Cdad. de Buenos Aires, Argentina","+54 (11)4342-3550","www.globalforwarding.com.ar","cgomez@globalforwarding.com.ar","Exception: Navigation timeout of 30000 ms exceeded"
"argentina","ciudad de buenos aires","DRY SEA SRL",", Argentina","+54 (0)11 5031-7223","www.dryseasrl.com.ar","info@dryseasrl.com.ar","Exception: net::ERR_TIMED_OUT at https://freighteva.com/admin/index.php?controller=accounts&action=add"
"argentina","ciudad de buenos aires","DSV AIR & SEA CARGO",", Argentina","+54 (11)4343-2738","www.dsv.com/ar","info@ar.dsv.com","Exception: net::ERR_TIMED_OUT at https://freighteva.com/admin/index.php?controller=accounts&action=add"
"argentina","ciudad de buenos aires","EAFF S.A.","Viamonte 1145 - 3 Piso Of. A, Cdad. de Buenos Aires, Argentina","+54 (11)4372-1300","www.eaff.com.ar","eaff@eaff.com.ar","Exception: net::ERR_TIMED_OUT at https://freighteva.com/admin/index.php?controller=accounts&action=add"
"argentina","ciudad de buenos aires","EMBASSY FREIGHT ARGENTINA S.R.L.","Av. Alicia Moreau se Justo 872, Ciudad de Buenos Aires, Argentina","+54 (0)11 43436008","www.embassy.it","embassy@embassy.com.ar","Exception: net::ERR_TIMED_OUT at https://freighteva.com/admin/index.php?controller=accounts&action=add"
"argentina","ciudad de buenos aires","ESADIN INTL S.A.","Avda. Cordoba 918 4to. B, Ciudad de Buenos Aires, Argentina","+54 (0)11 4327-1763","www.esadin.com.ar","esadin@esadin.com.ar","Exception: net::ERR_TIMED_OUT at https://freighteva.com/admin/index.php?controller=accounts&action=add"
"argentina","ciudad de buenos aires","ESTUDIO LAVALLEN","Maipu 42 Cuerpo 3, PB Of. 201, Ciudad de Buenos Aires-CABA, Argentina","+54 11-4342-1790","www.estudiolavallen.com.ar","info@estudiolavallen.com.ar","Exception: net::ERR_TIMED_OUT at https://freighteva.com/admin/index.php?controller=accounts&action=add"
"argentina","ciudad de buenos aires","ETM INTERNACIONAL S.R.L.","Av. Belgrano 615 Piso 1 Of J, Ciudad de Buenos Aires, Argentina","+54 (0)11 4331-2760","www.etminternacionalsrl.com","etminternacional@etminternacional.com","Exception: net::ERR_TIMED_OUT at https://freighteva.com/admin/index.php?controller=accounts&action=add"
"argentina","ciudad de buenos aires","EUROSUD LOGISTIK ARGENTINA S.R.L.",", Argentina","+54 (11)4331-2172","www.eurosud.com.ar","eurosud@eurosud.com.ar","Exception: net::ERR_TIMED_OUT at https://freighteva.com/admin/index.php?controller=accounts&action=add"
"argentina","ciudad de buenos aires","EXIMCON CARGAS AEREAS S.R.L.","Esmeralda 719 - 1 C, Ciudad de Buenos Aires, Argentina","+54 (11)4325-8700","www.eximcon.com","germans@eximcon.com","Exception: net::ERR_TIMED_OUT at https://freighteva.com/admin/index.php?controller=accounts&action=add"
"argentina","ciudad de buenos aires","EXPERT LOG ? BUENOS AIRES","Maipu 1210-Piso 8 # 861, C1006ACT  Capital Federal, Argentina","+54 11 4872-8242","WWW.expert-log.com","gselwa@expert-log.com","Exception: net::ERR_TIMED_OUT at https://freighteva.com/admin/index.php?controller=accounts&action=add"
"argentina","ciudad de buenos aires","FINEPORT","Pedro de Mendoza 417, Ciudad de Buenos Aires, Argentina","+54 11 43 07 12 00","www.fineport.com.ar","contacto@fineport.com.ar","Exception: net::ERR_TIMED_OUT at https://freighteva.com/admin/index.php?controller=accounts&action=add"
"argentina","ciudad de buenos aires","FLYING CARGO SERVICE S.R.L.",", Argentina","+54 (11)4342-7888","www.flyingcargo.com.ar","info@flyingcargo.com.ar","Exception: net::ERR_TIMED_OUT at https://freighteva.com/admin/index.php?controller=accounts&action=add"
"argentina","ciudad de buenos aires","FRIUL GROUP",", Argentina","+54 (11)4343-3062","www.friulgroup.com.ar","cargo@friulgroup.com.ar","Exception: net::ERR_TIMED_OUT at https://freighteva.com/admin/index.php?controller=accounts&action=add"
"argentina","ciudad de buenos aires","FULL CARGO S.R.L.",", Argentina","+54 (11)5272-0029","www.fullcargo.com.ar","fullcargo@fullcargo.com.ar","Exception: net::ERR_TIMED_OUT at https://freighteva.com/admin/index.php?controller=accounts&action=add"
"argentina","ciudad de buenos aires","GANBATTE S.A.",", Argentina","+54 (11)4334-7600","www.ganbatte.com.ar","info@ganbatte.com.ar","Exception: net::ERR_TIMED_OUT at https://freighteva.com/admin/index.php?controller=accounts&action=add"
"argentina","ciudad de buenos aires","GENERAL NOLI, ARGENTINA","Lima 355/369 2nd floor - Of. D, C1073AAG-Ciudad de Buenos Aires, Argentina","+54 11 4383 1768","www.generalnoli.com","gnolibaires@generalnoli.com","Exception: net::ERR_TIMED_OUT at https://freighteva.com/admin/index.php?controller=accounts&action=add"
"argentina","ciudad de buenos aires","GEX - GLOBAL EXAR (GLOBAL EXPRESS AERGENTINA SA)","Avenida Corrientes 543-Piso 5, 1043-Ciudad de Buenos Aires, Argentina","+54 11 4394 2250","www.globalexar.com","info@globalexar.com","Exception: net::ERR_TIMED_OUT at https://freighteva.com/admin/index.php?controller=accounts&action=add"
"argentina","ciudad de buenos aires","GRUPO OPERADORES","Av Rivadavia 1367 1 piso B, Ciudad de Buenos Aires, Argentina","+54 (11)4124 7600","www.grupooperadores.com","maximiliano.richard@grupooperadores.com","Exception: net::ERR_TIMED_OUT at https://freighteva.com/admin/index.php?controller=accounts&action=add"
"argentina","ciudad de buenos aires","DIMENSION GLOBAL FORWARDING","Alicia M. de Justo 1180 - 2 Piso Of 202, Cdad. de Buenos Aires, Argentina","+54 (11)4342-3550","www.globalforwarding.com.ar","cgomez@globalforwarding.com.ar","The ""cgomez@globalforwarding.com.ar"" email address is already in use by another account. | ""Personal address"" is already in use or denied"
"argentina","ciudad de buenos aires","DRY SEA SRL",", Argentina","+54 (0)11 5031-7223","www.dryseasrl.com.ar","info@dryseasrl.com.ar","The ""info@dryseasrl.com.ar"" email address is already in use by another account. | ""Personal address"" is already in use or denied"
"argentina","ciudad de buenos aires","DSV AIR & SEA CARGO",", Argentina","+54 (11)4343-2738","www.dsv.com/ar","info@ar.dsv.com","The ""info@ar.dsv.com"" email address is already in use by another account. | ""Personal address"" is already in use or denied"
"argentina","ciudad de buenos aires","EAFF S.A.","Viamonte 1145 - 3 Piso Of. A, Cdad. de Buenos Aires, Argentina","+54 (11)4372-1300","www.eaff.com.ar","eaff@eaff.com.ar","""Personal address"" is already in use or denied"
"argentina","ciudad de buenos aires","GRUPO SUR LOGISTICA S.A.","Moreno 970, 3 Piso Of 69 y 70, Ciudad de Buenos Aires, Argentina","+54 (11)4331-6021","www.gslogistica.com.ar","fernando.lopez@gslogistica.com.ar","""Personal address"" is already in use or denied"
"argentina","ciudad de buenos aires","H & S AIR + SEA","Parana 1097 10 piso, Ciudad de Buenos Aires, Argentina","+54 (11)5236 9554","www.handserv.com","ladislaos@handserv.com","The name of your individual page is too short; please enter 3 or more characters."
"argentina","ciudad de buenos aires","INTERNATIONAL FIRST SERVICE S.A.","Osvaldo Cruz 1926, Ciudad de Buenos Aires, Argentina","+54 (11)4110-4400","www.ifs.com.ar","info@ifs.com.ar","""Personal address"" is already in use or denied"
"argentina","ciudad de buenos aires","INTERNATIONAL FLEYTS S.R.L.",", Argentina","+54 (11)4345-6187","www.internacionalfleyt.com","info@internacionalfleyt.com","""Personal address"" is already in use or denied"
"argentina","ciudad de buenos aires","INTERNATIONAL FRESH FORWARDER SRL","Cabello 3682, 1D Cdad. Buenos Aires, C1425APL Capital Federal, Argentina","+5411 4807 9303","www.internationalfreshforwarder.com","info@intfresh.com","""Personal address"" is already in use or denied"
"argentina","ciudad de buenos aires","LOGISTICS PLUS","Moreno 584 Flat 5th of. B, C1091AAL - C.A.B.A., Cdad. Buenos Aires, Argentina","[+54 11] 5199 9793","www.logisticsplus.net","argentina@logisticsplus.net","The ""Phone"" field is required; please fill in it."
"argentina","ciudad de buenos aires","ORGANIZACION COORDINADORA S.R.L.","Peru 1224, Ciudad de Buenos Aires, Argentina","+54 (11)4300-7500","www.oca.com.ar","","Please make sure you’ve entered a valid email address."
"argentina","ciudad de buenos aires","PANALPINA TRANSP. MUNDIALES S.A.","Av. C. Pellegrini 713 - 2 Piso, Cdad. de Buenos Aires, Argentina","+54 (11)4348-4500","www.panalpina.com","argentina@panalpina.com","""Personal address"" is already in use or denied"
"argentina","ciudad de buenos aires","PENTAGON FREIGHT SERV. ARG. S.A.","Pte. Peron 1111 8 piso of 811, Ciudad de buenos Aires, Argentina","+54 (11)5252-0200","www.pentagonfreight.com","pentagon@pfsargentina.com.ar","""Personal address"" is already in use or denied"
"argentina","ciudad de buenos aires","ROHLIG ARGENTINA","A. M. De Justo 140 - 2 Piso Dique H, Ciudad de Buenos Aires, Argentina","+54 (11)4315-5550","www.pro-cargo.com","procargo@procargobue.com.ar","The ""procargo@procargobue.com.ar"" email address is already in use by another account."
"argentina","ciudad de buenos aires","SCAC TRANSPORTES INTERNACIONALES S.A.","Adolfo Alsina 756 - 8 D, Ciudad de Buenos Aires, Argentina","+54 (11)5236-7222","www.scac.com.ar","customer_service@scac.com.ar","""Personal address"" is already in use or denied"
"argentina","ciudad de buenos aires","SEA CONDOR S.R.L.","Alsina 440 2do A, Ciudad de Buenos Aires, Argentina","+54 (0)11 5252 4068","www.seacondor.com","alicia@seacondor.com.ar","""Personal address"" is already in use or denied"
"argentina","ciudad de buenos aires","SL INTERNATIONAL CARGO S.A.","Av. De Mayo 580 - Piso 3 Of. 10, Ciudad de Buenos Aires, Argentina","+54 (11)4343-7992","www.slcargo.com.ar","jmatta@slcargo.com.ar","The name of your individual page is too short; please enter 3 or more characters."
"argentina","ciudad de buenos aires","SOUTHATLANTIC MARITIME S.A.",", Argentina","+54 (11)5382-7113","www.southatlantic.com.ar","biz@southatlantic.com.ar","The ""biz@southatlantic.com.ar"" email address is already in use by another account. | ""Personal address"" is already in use or denied"
"argentina","ciudad de buenos aires","SOUTHERN TEAM SHIPPING & LOG. S.A.","Suipacha 72 - 5 Piso Of AvCiudad de Buenos Aires, Argentina","+54 (11)4331-3107","www.southernteam.com.ar","southernteam@southernteam.com.ar","""Personal address"" is already in use or denied"
"argentina","ciudad de buenos aires","SOUTHMARK LOG. S.A.","Av. Pte. Roque S. Pena 825, 2 Piso Of 521, Ciudad de Buenos Aires, Argentina","+54 (11)5128-0400","www.southlog.com","sales@southlog.com","""Personal address"" is already in use or denied"
"argentina","ciudad de buenos aires","TRANSPORTES BOLIVIA","Chacabuco 314 5to Piso, (C1069AAH) Ciudad de Buenos Aires, Argentina","+54 11 4383-4618","www.transportesbolivia.com.ar","info@transportesbolivia.com.ar","""Personal address"" is already in use or denied"
"argentina","ciudad de buenos aires","UNIVERSAL PROJECT S.A.","Manuela Seanz 323, 6th floor, of. 606, ED, Buenos Aires Plaza/Dique III Este C1107ClA, Ciudad de Buenos Aires, Argentina","+54 11 52 54 00 80","www.uproject.com.ar","uproject@uproject.com.ar","""Personal address"" is already in use or denied"
"argentina","cordoba","HUB CARGO","Cesar Carrizo 3070, C�rdoba, Argentina","","www.hub-cargo.com","comercial@hub-cargo.com","The ""Phone"" field is required; please fill in it."
"argentina","cordoba","KUEHNE + NAGEL SA","Av. Olmos 151-6 Of. 35, 5000 Cordoba, Argentina","+54 (0)351 428-4992","www.kuehne-nagel.com","info.cordoba@kuehne-nagel.com","""Personal address"" is already in use or denied"
"argentina","cordoba","CENTAURO S.A.",", Argentina","+54 351 4252222","www.centauroarg.com.ar","centaurosa@centauroarg.com.ar","The ""centaurosa@centauroarg.com.ar"" email address is already in use by another account. | ""Personal address"" is already in use or denied"
"argentina","cordoba","EXPRESS CORDOBA SA",", Argentina","+54 (0)351 424-6062","www.expresscordoba.com","info@expresscordoba.com","""Personal address"" is already in use or denied"
"argentina","cordoba","MARITIME SERV. LINE ARGENTINA (MSL)","San Jeronimo 167 Piso 17 Of. G, Ciudad de  Cordoba, Argentina","+54 (0)351 570 0210","www.mslcorporate.com","fchavez@mslcorporate.com.ar","""Personal address"" is already in use or denied"
"argentina","cordoba","OVERSEAS ARGENTINA S.A.","San Jeronimo 167 Piso 10A, Cdad. de  Cordoba, Argentina","+54 (0)351 424 0829","www.overseas.com.ar","overseas@overseas.com.ar","The ""overseas@overseas.com.ar"" email address is already in use by another account. | ""Personal address"" is already in use or denied"
"argentina","cordoba","YICHENG LOGISTICS - CORDOBA OFFICE","Ituzaingo 94 Piso 6 Oficina 1,  Cordoba, Argentina","+54 (0)351-568 0142","www.yicheng-logistics.com","","Please make sure you’ve entered a valid email address. | ""Personal address"" is already in use or denied"
"argentina","ezeiza","KUEHNE + NAGEL SA",", Argentina","+54 (0)11 4480-9360","www.kuehne-nagel.com","info.buenosaires@kuehne-nagel.com","The ""info.buenosaires@kuehne-nagel.com"" email address is already in use by another account. | ""Personal address"" is already in use or denied"
"argentina","ezeiza","OCEAN INTERNATIONAL","Tucuman 677, 2nd Floor Suite A, C1049AAM Pcia. de Buenos Aires, Argentina","+54 (0)11 4328-7150","www.oceaninternational.com.ar","ocean@oceaninternational.com.ar","""Personal address"" is already in use or denied"
"argentina","ezeiza","CARGO NET LOGISTIC S.A.","Edificio Centro de Despachantes, Piso 1, Of. 4, B1802EZE- Prov. Buenos Aires, Argentina","+54 11 5480 0089","www.cargo-net.com.ar","ezeiza@cargo-net.com.ar","""Personal address"" is already in use or denied"
"argentina","ezeiza","FULL CARGO S.R.L. (EZEIZA)","Edificio Corporativo, Piso 3 Of. 304B, Aeropuerto Ministrom Pistarini,  Prov. de Buenos Aires, Argentina","+54 (11)4480 0395","www.fullcargo.com.ar","opsezeiza@fullcargo.com.ar","""Personal address"" is already in use or denied"
"argentina","general pacheco","TP LOGISTICA","Ruta 197 No. 2999, Gral. Pacheco, B1618AXD Prov. Buenos Aires, Argentina","(+54-11) 4736-5300","www.tplogistica.com","comercial@tplogistica.com","The name of your individual page is too short; please enter 3 or more characters. | The ""Phone"" field is required; please fill in it."
"argentina","mar del plata","OVERSEAS ARGENTINA S.A.","Olavarria 2838 5to Piso B, Cdad. de  Pcia. Buenos Aires, Argentina","+54 (0)223 451 5059","www.overseas.com.ar","overseas@overseas.com.ar","The ""overseas@overseas.com.ar"" email address is already in use by another account. | ""Personal address"" is already in use or denied"
"argentina","mar del plata","TRANSPORTES SCORDINA S.A.","Prov. de Buenos Aires, Argentina","+54 (0)223-472-2859","www.scor-dina.com.ar","guillermo@scor-dina.com.ar","""Personal address"" is already in use or denied"
"argentina","mendoza","MAILEX","25 de Mayo 821, Mendoza, Mendoza 5500, Argentina","8109999927","www.mailexpress.com.ar","marketing@mailexpress.com.ar","The ""Phone"" field is empty or partially filled in."
"argentina","mendoza","KUEHNE + NAGEL SA","Rivadavia 464, 5500 Mendoza, Argentina","+54 (0)261 423-4686","www.kuehne-nagel.com","info.mendoza@kuehne-nagel.com","""Personal address"" is already in use or denied"
"argentina","mendoza","CENTAURO S.A.","Garibaldi 7 Piso 5, 5500-Ciudad de  Pcia. de Mendoza, Argentina","+54 261 4252525","www.centauroarg.com.ar","centaurosa@centauroarg.com.ar","The ""centaurosa@centauroarg.com.ar"" email address is already in use by another account. | ""Personal address"" is already in use or denied"
"argentina","mendoza","MARITIME SERV. LINE ARGENTINA (MSL)",", Argentina","+54 (0)261 429 2099","www.mslcorporate.com","jmarquez@mslcorporate.com.ar","""Personal address"" is already in use or denied"
"argentina","mendoza","OVERSEAS ARGENTINA S.A.","Olegario V. Andrade 157, Cdad. de  Mendoza, Argentina","+54 (0)261 428 4708","www.overseas.com.ar","overseas@overseas.com.ar","The ""overseas@overseas.com.ar"" email address is already in use by another account. | ""Personal address"" is already in use or denied"
"argentina","mendoza","TRANSCARGO ARGENTINA SA","Edif. Altivo Business, Patricias Mendocinas 661, Piso 2 Of. 3, CP 5500 Mendoza, Argentina","(+54) 261-424-2423","www.transcargoarg.com.ar","info@transcargoarg.com.ar","""Personal address"" is already in use or denied | The ""Phone"" field is required; please fill in it."
