On Air Logistic,"contact@onairlogistic.com., contact.france@kerrylogistics.com., ecarrier@fr.klinelogistics.com, cloriot@fr.klinelogistics.com",0148622574,"https://airlogisticsgroup.com/contact-us, http://mobile.cargoyellowpages.com/company/28908/sendmail/93333"
Nelog,secretariat@apref.org.,+33 6 4937 5735,"https://azfreight.com/freight-forwarder/nelog-transport-international/, http://www.cargoyellowpages.com/en/france/paris/freight-forwarders-nelog-40231.html"
PROSPERITY,"info@prosperitydigital.es, info@prosperitydigital.fr, info@franceprosperity.com., audrey.sourisseau@ahlstrom.com.",+33 1 84 88 04 30,"https://www.prosperity.ie/contact, https://www.prosperitydigital.fr/contact"
PROACTIV LOGISTICS,"ops@proactivlogistics.com., tim.ng@proactive-gl.com., active.fr@active-freight.com.",+33 9 70 70 52 63,"https://proactivlogistics.com/, https://www.proactiv-gmbh.com/contact"
Raine Freight Services,null,null,"https://shoprainehaircare.com/pages/contact, https://raineclothing.com/pages/contact"
SCTIL,"devis@sctil.fr., societe@sctil.fr., claude@sctil.fr., jane.doe@stihl.fr",null,"https://www.sctil.fr/index-5.html, https://servconseilstransportinternlogistiqu.site-solocal.com/"
Stpi,"sdifallah@stpi.fr., info@nextstage.com, stpi@stpi.com.sg., relationclient@crouzet.com","+33 1 48 61 77 00, +33 1 48 61 77 11, 01 53 93 49 40, +33616528512","https://www.airframer.com/direct_detail.html?company=139200, http://mobile.cargoyellowpages.com/company/6759/sendmail/93333"
SEA R WAY,"sales@flukebiomedical.com, ssg_sales@bizlinktech.com., br@seistar.no.",null,"http://www.shippingline.org/company/fr-12130/Sea_R_Way_Ltd.html, https://www.raysafe.com/contact"
Souvan Transport SAS,null,null,"https://souvan-transport.com/, https://souvan-transport.com/index.php/contact/"
TFS France,"thierryp@tfsfrance.com., tfs@tfsfrance.com., francoisj@tfsfrance.com., contact@tfsgroup.fr., info@tfsgrup.com., contact@tfsgrup.com","+33 1 60 21 31 46, +33 1 60 21 31 48, +33 6 07 71 60 92, +33 2 35 48 85 04, +33 2 35 48 85 24, +33 4 91 24 90 11, +33 6 07 48 91 50, +33 6 73 21 15 90, +33 1 60213141, +33 7 86 52 69 66, +33 1 60 21 31 41, +33 1 60 21 31 51","https://go2tfs.com/tfs/35/tfs-france-contacts, https://go2tfs.com/tfs/40/tfs-france-le-havre-contacts"
The Desire Group,"hytem@hytem.net., desidavids@gmail.com., kokerboom17@gmail.com., geral@dstsgps.com., pierredesireparis@gmail.com.",null,"https://rocketreach.co/desire-amie-email_610312279, https://www.hytem.net/contact/?lang=en"
TRANSPOOLING,"contact@transpooling.fr., commercial.transpooling@gmail.com.",null,"https://www.transpooling.fr/blank, https://www.courierstracking.com/transpooling-contact-phone-number-address/"
TRANS INTER,"contact@transinter.fr, contact@transinter.pro, inter-trans-service@bluewin.ch., innovations@ticominc.com, corporate@intertrans.eu",0218697766,"https://www.crunchbase.com/organization/trans-inter, https://www.dnb.com/business-directory/company-profiles.trans_inter.0ed8509e03f1c592ab0e039744a1d28a.html"
TPF Forwarding Network (France),"crm@wtp.vn, arvind.sharma@swiftfreight.net, alexandre.trueba@wes.fr.",null,"https://tpfnetwork.org/join-us/#:~:text=If%20you%20have%20any%20doubt,pleased%20to%20talk%20to%20you!, https://tpfnetwork.org/"
Transport Market Place,null,+33 660800026,"https://europe.bloombiz.com/default.cgi/action/viewcompanies/companyid/57244/, https://www.zoominfo.com/c/Transport-marketplace/351369858"
UNIPORT FRANCE,"admissions@ipes.uniport.edu.ng, info.eti@uniport.edu.ng, Uniport.Helpdesk.France@umusic.com., Uniport.Helpdesk.Germany@umusic.com., john.yeseibo@uniport.edu.ng., reception.phc@af-nigeria.org, michael.horsfall@uniport.edu.ng., c.b.anucha@ktu.edu.tr.",null,"https://ipes.uniport.edu.ng/, https://www.uniport.edu.ng/#:~:text=CONTACT%20US,helpdesk%40uniport.edu.ng"
VELOGIC,"contact@velogic-mu.com., nawaz.gobindram@velogic-in.com, contact@velogic-mu.com, shipping@rogers-shipping.com.",+33 1 49 19 51 81,"https://www.velogic.net/contact-us/find-our-offices/, https://www.velogic.net/"
WIGO LOGISTICS SAS,"info@wigologistics.com, info@wigologistics.com., contact@wigo-immo.com","+33 1 82 37 10 30, +33 9 82 57 73 00, 03 2273 2820","https://wigologistics.com/eng/contact.php, https://wigologistics.com/mentions-legales.php"
Vanderhoeft & Cie SA,"cranchon@eu.go2uti.com., aboubakari.nambiema@univ-angers.fr., camille.vanderhoeft@statbel.mineco.fgov.be.",null,"https://www.vdhcompany.com/en/contact, http://www.carga.com/new/francia_en.html"
Zoom Freight,info@zoom-cargo.com,null,"http://www.cargoyellowpages.com/en/france/paris/freight-forwarders-zoom-freight-6805.html, https://www.cargoconnections.net/brochure/zoomcz/partners"
